job_role,Requisition id,job responsibilities,qualification,desired,location
Software Engineering - Java Developer,190017205,"Coordinate with global team and own all the enhancements and defect fixes related to the platform.,Lead the DevOps model using the firmwide approved tools like Jenkins.,Hands on experience of building J2EE application using Spring modules.,Ability to develop re-usable components using Java/J2EE related technologies.,Develop Micro services using Spring.,Be part of a agile team and participate in all the scrum events.,Coordinate the evaluation, scope and completion of new development requests.,Work with our institutional management team to establish suitable processes to support Build and Release. ,Manage and maintain different environments and support on Release Management activities.","Minimum 6 years of experience in Java/J2EE.,Excellent Core Java skills.,Experience in Spring Core, Spring Boot & Spring ORM.,Hands on experience of developing REST and SOAP service using Spring.,Experience of working on scripting languages.,Experience of working Network security domain preferred.,Creative and analytical thinker with strong problem-solving skills.,Experience designing and implementing n-Tier systems,Must demonstrate exceptional verbal and written communication skills,Must demonstrate ability to communicate effectively at all levels of the organization","• Experience with Tomcat, Apache and Maven,. Experience on Micro services based architecture using Cloud infrastructure.,• Knowledge of DevOps practices is preferred.,• Test Driven Development (TDD) experience,• Knowledge and previous experience on commercial CRM platforms is desirable.","Bangalore East,KA,IN"
,,,,,
CB - Business Analyst & Reporting Specialist - Associate,190037471,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering - Java Developer,190017197,"Coordinate with global team and own all the enhancements and defect fixes related to the platform.,Lead the DevOps model using the firmwide approved tools like Jenkins.,Hands on experience of building J2EE application using Spring modules.,Ability to develop re-usable components using Java/J2EE related technologies.,Develop Micro services using Spring.,Be part of a agile team and participate in all the scrum events.,Coordinate the evaluation, scope and completion of new development requests.,Work with our institutional management team to establish suitable processes to support Build and Release. ,Manage and maintain different environments and support on Release Management activities.","Minimum 6 years of experience in Java/J2EE.,Excellent Core Java skills.,Experience in Spring Core, Spring Boot & Spring ORM.,Hands on experience of developing REST and SOAP service using Spring.,Experience of working on scripting languages.,Experience of working Network security domain preferred.,Creative and analytical thinker with strong problem-solving skills.,Experience designing and implementing n-Tier systems,Must demonstrate exceptional verbal and written communication skills,Must demonstrate ability to communicate effectively at all levels of the organization","• Experience with Tomcat, Apache and Maven,. Experience on Micro services based architecture using Cloud infrastructure.,• Knowledge of DevOps practices is preferred.,• Test Driven Development (TDD) experience,• Knowledge and previous experience on commercial CRM platforms is desirable.","Bangalore East,KA,IN"
,,,,,
Associate- Asia Legal Entity Controller,190035446,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineer - Java,190020577,,,,"Mumbai,MH,IN"
,,,,,
